name energy 
CuXIX 1.31 50
CuXIX 2.3599 10
CuXIX 2.3503 10
CuXIX 2.3704 10
CuXIX 2.553 100
CuXix 2.5526 150
CuXIX 2.6416 70
CuXIX 2.645 70
CuXIX 2.7032 150
CuXIX 2.7075 100
CuXIX 2.8631 100
CuXIX 2.867 150
CuXIX 2.8987 180
CuXIX 2.929 9
CuXIX 3.326 300
CuXIX 3.3321 6
CuXIX 3.729 450
CuXIX 3.749 350
CuXIX 3.972 550
CuXIX 4.0263 650
CuXIX 4.030 200
CuXIX 4.5331 200
CuXIX 4.609 850
CuXIX 4.7335 850
CuXIX 4.7442 1000
CuXIX 5.365 200
CuXIX 5.388 100
CuXIX 8.592 20
CuXIX 9.099 50
CuXIX 10.3 50
CuXIX 10.318 100
CuXIX 11.127 250
CuXIX 11.136 350

